X,Wynik_przyblizony,Blad_wzgledny
7.58577575e-25,1,0
7.762471166e-25,1,0
7.943282347e-25,1,0
8.128305162e-25,1,0
8.317637711e-25,1,0
8.511380382e-25,1,0
8.7096359e-25,1,0
8.912509381e-25,1,0
9.120108394e-25,1,0
9.332543008e-25,1,0
9.54992586e-25,1,0
9.77237221e-25,1,0
1e-24,1,0
1.023292992e-24,1,0
1.047128548e-24,1,0
1.071519305e-24,1,0
1.096478196e-24,1,0
1.122018454e-24,1,0
1.148153621e-24,1,0
1.174897555e-24,1,0
1.202264435e-24,1,0
1.230268771e-24,1,0
1.258925412e-24,1,0
1.288249552e-24,1,0
1.318256739e-24,1,0
1.348962883e-24,1,0
1.380384265e-24,1,0
1.412537545e-24,1,0
1.445439771e-24,1,0
1.479108388e-24,1,0
1.513561248e-24,1,0
1.548816619e-24,1,0
1.584893192e-24,1,0
1.621810097e-24,1,0
1.659586907e-24,1,0
1.698243652e-24,1,0
1.737800829e-24,1,0
1.77827941e-24,1,0
1.819700859e-24,1,0
1.862087137e-24,1,0
1.905460718e-24,1,0
1.9498446e-24,1,0
1.995262315e-24,1,0
2.041737945e-24,1,0
2.089296131e-24,1,0
2.13796209e-24,1,0
2.187761624e-24,1,0
2.238721139e-24,1,0
2.290867653e-24,1,0
2.344228815e-24,1,0
2.398832919e-24,1,0
2.454708916e-24,1,0
2.511886432e-24,1,0
2.570395783e-24,1,0
2.630267992e-24,1,0
2.691534804e-24,1,0
2.754228703e-24,1,0
2.818382931e-24,1,0
2.884031503e-24,1,0
2.951209227e-24,1,0
3.01995172e-24,1,0
3.090295433e-24,1,0
3.16227766e-24,1,0
3.235936569e-24,1,0
3.311311215e-24,1,0
3.388441561e-24,1,0
3.467368505e-24,1,0
3.548133892e-24,1,0
3.630780548e-24,1,0
3.715352291e-24,1,0
3.801893963e-24,1,0
3.89045145e-24,1,0
3.981071706e-24,1,0
4.073802778e-24,1,0
4.168693835e-24,1,0
4.265795188e-24,1,0
4.365158322e-24,1,0
4.466835922e-24,1,0
4.570881896e-24,1,0
4.677351413e-24,1,0
4.786300923e-24,1,0
4.897788194e-24,1,0
5.011872336e-24,1,0
5.12861384e-24,1,0
5.248074602e-24,1,0
5.370317964e-24,1,0
5.495408739e-24,1,0
5.623413252e-24,1,0
5.754399373e-24,1,0
5.888436554e-24,1,0
6.025595861e-24,1,0
6.165950019e-24,1,0
6.309573445e-24,1,0
6.45654229e-24,1,0
6.60693448e-24,1,0
6.760829754e-24,1,0
6.918309709e-24,1,0
7.079457844e-24,1,0
7.244359601e-24,1,0
7.413102413e-24,1,0
7.58577575e-24,1,0
7.762471166e-24,1,0
7.943282347e-24,1,0
8.128305162e-24,1,0
8.317637711e-24,1,0
8.511380382e-24,1,0
8.7096359e-24,1,0
8.912509381e-24,1,0
9.120108394e-24,1,0
9.332543008e-24,1,0
9.54992586e-24,1,0
9.77237221e-24,1,0
1e-23,1,0
1.023292992e-23,1,0
1.047128548e-23,1,0
1.071519305e-23,1,0
1.096478196e-23,1,0
1.122018454e-23,1,0
1.148153621e-23,1,0
1.174897555e-23,1,0
1.202264435e-23,1,0
1.230268771e-23,1,0
1.258925412e-23,1,0
1.288249552e-23,1,0
1.318256739e-23,1,0
1.348962883e-23,1,0
1.380384265e-23,1,0
1.412537545e-23,1,0
1.445439771e-23,1,0
1.479108388e-23,1,0
1.513561248e-23,1,0
1.548816619e-23,1,0
1.584893192e-23,1,0
1.621810097e-23,1,0
1.659586907e-23,1,0
1.698243652e-23,1,0
1.737800829e-23,1,0
1.77827941e-23,1,0
1.819700859e-23,1,0
1.862087137e-23,1,0
1.905460718e-23,1,0
1.9498446e-23,1,0
1.995262315e-23,1,0
2.041737945e-23,1,0
2.089296131e-23,1,0
2.13796209e-23,1,0
2.187761624e-23,1,0
2.238721139e-23,1,0
2.290867653e-23,1,0
2.344228815e-23,1,0
2.398832919e-23,1,0
2.454708916e-23,1,0
2.511886432e-23,1,0
2.570395783e-23,1,0
2.630267992e-23,1,0
2.691534804e-23,1,0
2.754228703e-23,1,0
2.818382931e-23,1,0
2.884031503e-23,1,0
2.951209227e-23,1,0
3.01995172e-23,1,0
3.090295433e-23,1,0
3.16227766e-23,1,0
3.235936569e-23,1,0
3.311311215e-23,1,0
3.388441561e-23,1,0
3.467368505e-23,1,0
3.548133892e-23,1,0
3.630780548e-23,1,0
3.715352291e-23,1,0
3.801893963e-23,1,0
3.89045145e-23,1,0
3.981071706e-23,1,0
4.073802778e-23,1,0
4.168693835e-23,1,0
4.265795188e-23,1,0
4.365158322e-23,1,0
4.466835922e-23,1,0
4.570881896e-23,1,0
4.677351413e-23,1,0
4.786300923e-23,1,0
4.897788194e-23,1,0
5.011872336e-23,1,0
5.12861384e-23,1,0
5.248074602e-23,1,0
5.370317964e-23,1,0
5.495408739e-23,1,0
5.623413252e-23,1,0
5.754399373e-23,1,0
5.888436554e-23,1,0
6.025595861e-23,1,0
6.165950019e-23,1,0
6.309573445e-23,1,0
6.45654229e-23,1,0
6.60693448e-23,1,0
6.760829754e-23,1,0
6.918309709e-23,1,0
7.079457844e-23,1,0
7.244359601e-23,1,0
7.413102413e-23,1,0
7.58577575e-23,1,0
7.762471166e-23,1,0
7.943282347e-23,1,0
8.128305162e-23,1,0
8.317637711e-23,1,0
8.511380382e-23,1,0
8.7096359e-23,1,0
8.912509381e-23,1,0
9.120108394e-23,1,0
9.332543008e-23,1,0
9.54992586e-23,1,0
9.77237221e-23,1,0
1e-22,1,0
1.023292992e-22,1,0
1.047128548e-22,1,0
1.071519305e-22,1,0
1.096478196e-22,1,0
1.122018454e-22,1,0
1.148153621e-22,1,0
1.174897555e-22,1,0
1.202264435e-22,1,0
1.230268771e-22,1,0
1.258925412e-22,1,0
1.288249552e-22,1,0
1.318256739e-22,1,0
1.348962883e-22,1,0
1.380384265e-22,1,0
1.412537545e-22,1,0
1.445439771e-22,1,0
1.479108388e-22,1,0
1.513561248e-22,1,0
1.548816619e-22,1,0
1.584893192e-22,1,0
1.621810097e-22,1,0
1.659586907e-22,1,0
1.698243652e-22,1,0
1.737800829e-22,1,0
1.77827941e-22,1,0
1.819700859e-22,1,0
1.862087137e-22,1,0
1.905460718e-22,1,0
